"latitude","longitude","room_type","price","guests_included","minimum_nights","review_scores_rating","cancellation_policy","host_is_superhost","number_of_reviews","number_of_reviews_ltm","bathrooms","bedrooms","beds","bed_type","has_reviews"
30.2994,-97.79666,"Entire home/apt",250,8,3,95,"strict_14_with_grace_period","f",72,18,3,4,5,"Real Bed",TRUE
30.23229,-97.69188,"Entire home/apt",135,2,3,95,"strict_14_with_grace_period","f",10,1,1,1,1,"Pull-out Sofa",TRUE
30.36599,-97.69784,"Entire home/apt",165,1,7,96.176,"strict_14_with_grace_period","f",1,0,3,3,1,"Real Bed",FALSE
30.25374,-97.73553,"Entire home/apt",400,6,2,100,"moderate","f",3,0,2,3,3,"Real Bed",TRUE
30.32225,-97.7296,"Entire home/apt",102,3,2,93,"moderate","f",59,11,1,2,3,"Real Bed",TRUE
30.25884,-97.76628,"Private room",350,2,2,96.176,"strict_14_with_grace_period","f",0,0,1,1,1,"Real Bed",FALSE
30.2698,-97.72854,"Entire home/apt",135,2,2,99,"strict_14_with_grace_period","t",63,24,1,0,1,"Pull-out Sofa",TRUE
30.25372,-97.74556,"Entire home/apt",200,2,2,100,"strict_14_with_grace_period","f",16,8,1,2,2,"Real Bed",TRUE
30.22479,-97.7246,"Entire home/apt",175,6,3,97,"moderate","t",189,27,2,3,3,"Real Bed",TRUE
30.27428,-97.75716,"Entire home/apt",224,1,2,98,"strict_14_with_grace_period","f",50,2,1,2,3,"Real Bed",TRUE
30.34467,-97.86235,"Entire home/apt",225,3,2,98,"strict_14_with_grace_period","t",41,14,2,3,4,"Real Bed",TRUE
30.20841,-97.81879,"Entire home/apt",250,1,1,96.176,"flexible","f",0,0,2,2,2,"Real Bed",FALSE
30.29884,-97.73391,"Entire home/apt",130,1,2,100,"strict_14_with_grace_period","t",57,46,1,1,1,"Real Bed",TRUE
30.20097,-97.81404,"Entire home/apt",225,4,2,99,"strict_14_with_grace_period","f",16,3,2,3,3,"Real Bed",TRUE
30.28004,-97.74563,"Entire home/apt",115,1,2,99,"moderate","t",368,43,1,1,2,"Real Bed",TRUE
30.26665,-97.71815,"Private room",60,2,2,80,"strict_14_with_grace_period","f",1,0,1,1,1,"Real Bed",TRUE
30.33962,-97.73593,"Entire home/apt",135,2,2,97,"strict_14_with_grace_period","t",49,21,1,2,2,"Real Bed",TRUE
30.26164,-97.76158,"Entire home/apt",99,1,2,98,"moderate","t",415,47,1,1,2,"Real Bed",TRUE
30.37336,-97.79575,"Entire home/apt",399,6,2,97,"strict_14_with_grace_period","f",15,5,3.5,3,4,"Real Bed",TRUE
30.22142,-97.73484,"Entire home/apt",77,4,1,90,"moderate","f",125,23,1,2,2,"Real Bed",TRUE
